brand_name,slug,tagline,color_key,hex,color_desc,type_key,font,size,typo_desc
"Content Factor",content-factor,"Live, Interactive, Always in Sync",pipeline.build,#F97316,"Build stage — orange, foundation work, initial creation",,,,
"Content Factor",content-factor,"Live, Interactive, Always in Sync",pipeline.capture,#06B6D4,"Capture stage — cyan, collecting and gathering content",,,,
"Content Factor",content-factor,"Live, Interactive, Always in Sync",pipeline.measure,#DB2777,"Measure stage — pink, analytics and feedback",,,,
"Content Factor",content-factor,"Live, Interactive, Always in Sync",pipeline.publish,#2563EB,"Publish stage — blue, deployment and distribution",,,,
"Content Factor",content-factor,"Live, Interactive, Always in Sync",pipeline.transform,#84CC16,"Transform stage — lime, processing and refining",,,,
Dropframe,dropframe,"Build Your Brand in Motion",neutral.dark,#212121,"Primary text, high emphasis",type.display,Inter,40.0,"Hero headlines, major impact"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.light,#F5F5F5,"Background surfaces, light base",type.display,Inter,40.0,"Hero headlines, major impact"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.white,#FFFFFF,"Pure white — cards, overlays",type.display,Inter,40.0,"Hero headlines, major impact"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.dark,#212121,"Primary text, high emphasis",type.h1,Inter,32.0,"Page titles, section headers"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.light,#F5F5F5,"Background surfaces, light base",type.h1,Inter,32.0,"Page titles, section headers"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.white,#FFFFFF,"Pure white — cards, overlays",type.h1,Inter,32.0,"Page titles, section headers"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.dark,#212121,"Primary text, high emphasis",type.h2,Inter,24.0,"Subsection headers"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.light,#F5F5F5,"Background surfaces, light base",type.h2,Inter,24.0,"Subsection headers"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.white,#FFFFFF,"Pure white — cards, overlays",type.h2,Inter,24.0,"Subsection headers"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.dark,#212121,"Primary text, high emphasis",type.h3,Inter,20.0,"Card titles, component headers"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.light,#F5F5F5,"Background surfaces, light base",type.h3,Inter,20.0,"Card titles, component headers"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.white,#FFFFFF,"Pure white — cards, overlays",type.h3,Inter,20.0,"Card titles, component headers"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.dark,#212121,"Primary text, high emphasis",type.body.large,"Libre Franklin",18.0,"Lead paragraphs, introductions"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.dark,#212121,"Primary text, high emphasis",type.h4,Inter,18.0,"Minor headings"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.light,#F5F5F5,"Background surfaces, light base",type.body.large,"Libre Franklin",18.0,"Lead paragraphs, introductions"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.light,#F5F5F5,"Background surfaces, light base",type.h4,Inter,18.0,"Minor headings"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.white,#FFFFFF,"Pure white — cards, overlays",type.body.large,"Libre Franklin",18.0,"Lead paragraphs, introductions"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.white,#FFFFFF,"Pure white — cards, overlays",type.h4,Inter,18.0,"Minor headings"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.dark,#212121,"Primary text, high emphasis",type.body,"Libre Franklin",16.0,"Standard content, descriptions"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.dark,#212121,"Primary text, high emphasis",type.button.large,Inter,16.0,"Primary CTAs — uppercase"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.light,#F5F5F5,"Background surfaces, light base",type.body,"Libre Franklin",16.0,"Standard content, descriptions"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.light,#F5F5F5,"Background surfaces, light base",type.button.large,Inter,16.0,"Primary CTAs — uppercase"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.white,#FFFFFF,"Pure white — cards, overlays",type.body,"Libre Franklin",16.0,"Standard content, descriptions"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.white,#FFFFFF,"Pure white — cards, overlays",type.button.large,Inter,16.0,"Primary CTAs — uppercase"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.dark,#212121,"Primary text, high emphasis",type.body.small,"Libre Franklin",14.0,"Secondary information, metadata"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.dark,#212121,"Primary text, high emphasis",type.button,Inter,14.0,"Standard buttons — uppercase"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.light,#F5F5F5,"Background surfaces, light base",type.body.small,"Libre Franklin",14.0,"Secondary information, metadata"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.light,#F5F5F5,"Background surfaces, light base",type.button,Inter,14.0,"Standard buttons — uppercase"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.white,#FFFFFF,"Pure white — cards, overlays",type.body.small,"Libre Franklin",14.0,"Secondary information, metadata"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.white,#FFFFFF,"Pure white — cards, overlays",type.button,Inter,14.0,"Standard buttons — uppercase"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.dark,#212121,"Primary text, high emphasis",type.caption,"Libre Franklin",12.0,"Tiny labels, timestamps, footnotes"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.light,#F5F5F5,"Background surfaces, light base",type.caption,"Libre Franklin",12.0,"Tiny labels, timestamps, footnotes"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.white,#FFFFFF,"Pure white — cards, overlays",type.caption,"Libre Franklin",12.0,"Tiny labels, timestamps, footnotes"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.red,#C41230,"Colonial Red — calls to action, focus, urgency",type.display,Inter,40.0,"Hero headlines, major impact"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.teal,#006E6D,"Cobbs Creek Teal — primary brand accent, calm energy, digital modernity",type.display,Inter,40.0,"Hero headlines, major impact"
Dropframe,dropframe,"Build Your Brand in Motion",tier.gold,#FFC857,"Tier 1 accent — Warm Gold, achievement highlights",type.display,Inter,40.0,"Hero headlines, major impact"
Dropframe,dropframe,"Build Your Brand in Motion",tier.lavender,#B497BD,"Tier 2 accent — West Philly Lavender, trust, polish",type.display,Inter,40.0,"Hero headlines, major impact"
Dropframe,dropframe,"Build Your Brand in Motion",tier.slate,#4B4B4B,"Tier 3 accent — Slate Gray, secondary depth",type.display,Inter,40.0,"Hero headlines, major impact"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.red,#C41230,"Colonial Red — calls to action, focus, urgency",type.h1,Inter,32.0,"Page titles, section headers"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.teal,#006E6D,"Cobbs Creek Teal — primary brand accent, calm energy, digital modernity",type.h1,Inter,32.0,"Page titles, section headers"
Dropframe,dropframe,"Build Your Brand in Motion",tier.gold,#FFC857,"Tier 1 accent — Warm Gold, achievement highlights",type.h1,Inter,32.0,"Page titles, section headers"
Dropframe,dropframe,"Build Your Brand in Motion",tier.lavender,#B497BD,"Tier 2 accent — West Philly Lavender, trust, polish",type.h1,Inter,32.0,"Page titles, section headers"
Dropframe,dropframe,"Build Your Brand in Motion",tier.slate,#4B4B4B,"Tier 3 accent — Slate Gray, secondary depth",type.h1,Inter,32.0,"Page titles, section headers"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.red,#C41230,"Colonial Red — calls to action, focus, urgency",type.h2,Inter,24.0,"Subsection headers"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.teal,#006E6D,"Cobbs Creek Teal — primary brand accent, calm energy, digital modernity",type.h2,Inter,24.0,"Subsection headers"
Dropframe,dropframe,"Build Your Brand in Motion",tier.gold,#FFC857,"Tier 1 accent — Warm Gold, achievement highlights",type.h2,Inter,24.0,"Subsection headers"
Dropframe,dropframe,"Build Your Brand in Motion",tier.lavender,#B497BD,"Tier 2 accent — West Philly Lavender, trust, polish",type.h2,Inter,24.0,"Subsection headers"
Dropframe,dropframe,"Build Your Brand in Motion",tier.slate,#4B4B4B,"Tier 3 accent — Slate Gray, secondary depth",type.h2,Inter,24.0,"Subsection headers"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.red,#C41230,"Colonial Red — calls to action, focus, urgency",type.h3,Inter,20.0,"Card titles, component headers"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.teal,#006E6D,"Cobbs Creek Teal — primary brand accent, calm energy, digital modernity",type.h3,Inter,20.0,"Card titles, component headers"
Dropframe,dropframe,"Build Your Brand in Motion",tier.gold,#FFC857,"Tier 1 accent — Warm Gold, achievement highlights",type.h3,Inter,20.0,"Card titles, component headers"
Dropframe,dropframe,"Build Your Brand in Motion",tier.lavender,#B497BD,"Tier 2 accent — West Philly Lavender, trust, polish",type.h3,Inter,20.0,"Card titles, component headers"
Dropframe,dropframe,"Build Your Brand in Motion",tier.slate,#4B4B4B,"Tier 3 accent — Slate Gray, secondary depth",type.h3,Inter,20.0,"Card titles, component headers"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.red,#C41230,"Colonial Red — calls to action, focus, urgency",type.body.large,"Libre Franklin",18.0,"Lead paragraphs, introductions"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.red,#C41230,"Colonial Red — calls to action, focus, urgency",type.h4,Inter,18.0,"Minor headings"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.teal,#006E6D,"Cobbs Creek Teal — primary brand accent, calm energy, digital modernity",type.body.large,"Libre Franklin",18.0,"Lead paragraphs, introductions"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.teal,#006E6D,"Cobbs Creek Teal — primary brand accent, calm energy, digital modernity",type.h4,Inter,18.0,"Minor headings"
Dropframe,dropframe,"Build Your Brand in Motion",tier.gold,#FFC857,"Tier 1 accent — Warm Gold, achievement highlights",type.body.large,"Libre Franklin",18.0,"Lead paragraphs, introductions"
Dropframe,dropframe,"Build Your Brand in Motion",tier.gold,#FFC857,"Tier 1 accent — Warm Gold, achievement highlights",type.h4,Inter,18.0,"Minor headings"
Dropframe,dropframe,"Build Your Brand in Motion",tier.lavender,#B497BD,"Tier 2 accent — West Philly Lavender, trust, polish",type.body.large,"Libre Franklin",18.0,"Lead paragraphs, introductions"
Dropframe,dropframe,"Build Your Brand in Motion",tier.lavender,#B497BD,"Tier 2 accent — West Philly Lavender, trust, polish",type.h4,Inter,18.0,"Minor headings"
Dropframe,dropframe,"Build Your Brand in Motion",tier.slate,#4B4B4B,"Tier 3 accent — Slate Gray, secondary depth",type.body.large,"Libre Franklin",18.0,"Lead paragraphs, introductions"
Dropframe,dropframe,"Build Your Brand in Motion",tier.slate,#4B4B4B,"Tier 3 accent — Slate Gray, secondary depth",type.h4,Inter,18.0,"Minor headings"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.red,#C41230,"Colonial Red — calls to action, focus, urgency",type.body,"Libre Franklin",16.0,"Standard content, descriptions"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.red,#C41230,"Colonial Red — calls to action, focus, urgency",type.button.large,Inter,16.0,"Primary CTAs — uppercase"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.teal,#006E6D,"Cobbs Creek Teal — primary brand accent, calm energy, digital modernity",type.body,"Libre Franklin",16.0,"Standard content, descriptions"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.teal,#006E6D,"Cobbs Creek Teal — primary brand accent, calm energy, digital modernity",type.button.large,Inter,16.0,"Primary CTAs — uppercase"
Dropframe,dropframe,"Build Your Brand in Motion",tier.gold,#FFC857,"Tier 1 accent — Warm Gold, achievement highlights",type.body,"Libre Franklin",16.0,"Standard content, descriptions"
Dropframe,dropframe,"Build Your Brand in Motion",tier.gold,#FFC857,"Tier 1 accent — Warm Gold, achievement highlights",type.button.large,Inter,16.0,"Primary CTAs — uppercase"
Dropframe,dropframe,"Build Your Brand in Motion",tier.lavender,#B497BD,"Tier 2 accent — West Philly Lavender, trust, polish",type.body,"Libre Franklin",16.0,"Standard content, descriptions"
Dropframe,dropframe,"Build Your Brand in Motion",tier.lavender,#B497BD,"Tier 2 accent — West Philly Lavender, trust, polish",type.button.large,Inter,16.0,"Primary CTAs — uppercase"
Dropframe,dropframe,"Build Your Brand in Motion",tier.slate,#4B4B4B,"Tier 3 accent — Slate Gray, secondary depth",type.body,"Libre Franklin",16.0,"Standard content, descriptions"
Dropframe,dropframe,"Build Your Brand in Motion",tier.slate,#4B4B4B,"Tier 3 accent — Slate Gray, secondary depth",type.button.large,Inter,16.0,"Primary CTAs — uppercase"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.red,#C41230,"Colonial Red — calls to action, focus, urgency",type.body.small,"Libre Franklin",14.0,"Secondary information, metadata"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.red,#C41230,"Colonial Red — calls to action, focus, urgency",type.button,Inter,14.0,"Standard buttons — uppercase"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.teal,#006E6D,"Cobbs Creek Teal — primary brand accent, calm energy, digital modernity",type.body.small,"Libre Franklin",14.0,"Secondary information, metadata"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.teal,#006E6D,"Cobbs Creek Teal — primary brand accent, calm energy, digital modernity",type.button,Inter,14.0,"Standard buttons — uppercase"
Dropframe,dropframe,"Build Your Brand in Motion",tier.gold,#FFC857,"Tier 1 accent — Warm Gold, achievement highlights",type.body.small,"Libre Franklin",14.0,"Secondary information, metadata"
Dropframe,dropframe,"Build Your Brand in Motion",tier.gold,#FFC857,"Tier 1 accent — Warm Gold, achievement highlights",type.button,Inter,14.0,"Standard buttons — uppercase"
Dropframe,dropframe,"Build Your Brand in Motion",tier.lavender,#B497BD,"Tier 2 accent — West Philly Lavender, trust, polish",type.body.small,"Libre Franklin",14.0,"Secondary information, metadata"
Dropframe,dropframe,"Build Your Brand in Motion",tier.lavender,#B497BD,"Tier 2 accent — West Philly Lavender, trust, polish",type.button,Inter,14.0,"Standard buttons — uppercase"
Dropframe,dropframe,"Build Your Brand in Motion",tier.slate,#4B4B4B,"Tier 3 accent — Slate Gray, secondary depth",type.body.small,"Libre Franklin",14.0,"Secondary information, metadata"
Dropframe,dropframe,"Build Your Brand in Motion",tier.slate,#4B4B4B,"Tier 3 accent — Slate Gray, secondary depth",type.button,Inter,14.0,"Standard buttons — uppercase"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.red,#C41230,"Colonial Red — calls to action, focus, urgency",type.caption,"Libre Franklin",12.0,"Tiny labels, timestamps, footnotes"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.teal,#006E6D,"Cobbs Creek Teal — primary brand accent, calm energy, digital modernity",type.caption,"Libre Franklin",12.0,"Tiny labels, timestamps, footnotes"
Dropframe,dropframe,"Build Your Brand in Motion",tier.gold,#FFC857,"Tier 1 accent — Warm Gold, achievement highlights",type.caption,"Libre Franklin",12.0,"Tiny labels, timestamps, footnotes"
Dropframe,dropframe,"Build Your Brand in Motion",tier.lavender,#B497BD,"Tier 2 accent — West Philly Lavender, trust, polish",type.caption,"Libre Franklin",12.0,"Tiny labels, timestamps, footnotes"
Dropframe,dropframe,"Build Your Brand in Motion",tier.slate,#4B4B4B,"Tier 3 accent — Slate Gray, secondary depth",type.caption,"Libre Franklin",12.0,"Tiny labels, timestamps, footnotes"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.light,#F3F3F3,"Light backgrounds, clean surfaces",type.display,Oswald,48.0,"Hero headlines, major impact, street presence"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.mid,#6B7280,"Secondary text, muted content",type.display,Oswald,48.0,"Hero headlines, major impact, street presence"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.white,#FFFFFF,"Pure white — overlays, high contrast",type.display,Oswald,48.0,"Hero headlines, major impact, street presence"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.light,#F3F3F3,"Light backgrounds, clean surfaces",type.h1,Oswald,36.0,"Page titles, section headers"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.mid,#6B7280,"Secondary text, muted content",type.h1,Oswald,36.0,"Page titles, section headers"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.white,#FFFFFF,"Pure white — overlays, high contrast",type.h1,Oswald,36.0,"Page titles, section headers"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.light,#F3F3F3,"Light backgrounds, clean surfaces",type.h2,Oswald,28.0,"Subsection headers"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.mid,#6B7280,"Secondary text, muted content",type.h2,Oswald,28.0,"Subsection headers"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.white,#FFFFFF,"Pure white — overlays, high contrast",type.h2,Oswald,28.0,"Subsection headers"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.light,#F3F3F3,"Light backgrounds, clean surfaces",type.h3,Oswald,22.0,"Card titles, feature headers"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.mid,#6B7280,"Secondary text, muted content",type.h3,Oswald,22.0,"Card titles, feature headers"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.white,#FFFFFF,"Pure white — overlays, high contrast",type.h3,Oswald,22.0,"Card titles, feature headers"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.light,#F3F3F3,"Light backgrounds, clean surfaces",type.body.large,"Libre Franklin",18.0,"Lead paragraphs, introductions"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.light,#F3F3F3,"Light backgrounds, clean surfaces",type.h4,Oswald,18.0,"Minor headings"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.mid,#6B7280,"Secondary text, muted content",type.body.large,"Libre Franklin",18.0,"Lead paragraphs, introductions"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.mid,#6B7280,"Secondary text, muted content",type.h4,Oswald,18.0,"Minor headings"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.white,#FFFFFF,"Pure white — overlays, high contrast",type.body.large,"Libre Franklin",18.0,"Lead paragraphs, introductions"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.white,#FFFFFF,"Pure white — overlays, high contrast",type.h4,Oswald,18.0,"Minor headings"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.light,#F3F3F3,"Light backgrounds, clean surfaces",type.body,"Libre Franklin",16.0,"Standard content, descriptions"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.light,#F3F3F3,"Light backgrounds, clean surfaces",type.button.large,Oswald,16.0,"Large CTAs — uppercase"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.mid,#6B7280,"Secondary text, muted content",type.body,"Libre Franklin",16.0,"Standard content, descriptions"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.mid,#6B7280,"Secondary text, muted content",type.button.large,Oswald,16.0,"Large CTAs — uppercase"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.white,#FFFFFF,"Pure white — overlays, high contrast",type.body,"Libre Franklin",16.0,"Standard content, descriptions"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.white,#FFFFFF,"Pure white — overlays, high contrast",type.button.large,Oswald,16.0,"Large CTAs — uppercase"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.light,#F3F3F3,"Light backgrounds, clean surfaces",type.body.small,"Libre Franklin",14.0,"Secondary information, metadata"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.light,#F3F3F3,"Light backgrounds, clean surfaces",type.button,Oswald,14.0,"Standard buttons — uppercase"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.mid,#6B7280,"Secondary text, muted content",type.body.small,"Libre Franklin",14.0,"Secondary information, metadata"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.mid,#6B7280,"Secondary text, muted content",type.button,Oswald,14.0,"Standard buttons — uppercase"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.white,#FFFFFF,"Pure white — overlays, high contrast",type.body.small,"Libre Franklin",14.0,"Secondary information, metadata"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.white,#FFFFFF,"Pure white — overlays, high contrast",type.button,Oswald,14.0,"Standard buttons — uppercase"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.light,#F3F3F3,"Light backgrounds, clean surfaces",type.caption,"Libre Franklin",12.0,"Tiny labels, timestamps"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.mid,#6B7280,"Secondary text, muted content",type.caption,"Libre Franklin",12.0,"Tiny labels, timestamps"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",neutral.white,#FFFFFF,"Pure white — overlays, high contrast",type.caption,"Libre Franklin",12.0,"Tiny labels, timestamps"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",grindline.coral,#FF5A5F,"Burnt Coral — passion, urgency, call to action",type.display,Oswald,48.0,"Hero headlines, major impact, street presence"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",grindline.dark,#2E2E2E,"Asphalt Gray — base dark, urban grounding, night grind",type.display,Oswald,48.0,"Hero headlines, major impact, street presence"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",grindline.gold,#FFC857,"Warm Gold — achievement, spotlight, success moments",type.display,Oswald,48.0,"Hero headlines, major impact, street presence"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",grindline.teal,#00A6A6,"Electric Teal — energy, modernity, movement, primary accent",type.display,Oswald,48.0,"Hero headlines, major impact, street presence"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",grindline.coral,#FF5A5F,"Burnt Coral — passion, urgency, call to action",type.h1,Oswald,36.0,"Page titles, section headers"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",grindline.dark,#2E2E2E,"Asphalt Gray — base dark, urban grounding, night grind",type.h1,Oswald,36.0,"Page titles, section headers"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",grindline.gold,#FFC857,"Warm Gold — achievement, spotlight, success moments",type.h1,Oswald,36.0,"Page titles, section headers"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",grindline.teal,#00A6A6,"Electric Teal — energy, modernity, movement, primary accent",type.h1,Oswald,36.0,"Page titles, section headers"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",grindline.coral,#FF5A5F,"Burnt Coral — passion, urgency, call to action",type.h2,Oswald,28.0,"Subsection headers"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",grindline.dark,#2E2E2E,"Asphalt Gray — base dark, urban grounding, night grind",type.h2,Oswald,28.0,"Subsection headers"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",grindline.gold,#FFC857,"Warm Gold — achievement, spotlight, success moments",type.h2,Oswald,28.0,"Subsection headers"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",grindline.teal,#00A6A6,"Electric Teal — energy, modernity, movement, primary accent",type.h2,Oswald,28.0,"Subsection headers"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",grindline.coral,#FF5A5F,"Burnt Coral — passion, urgency, call to action",type.h3,Oswald,22.0,"Card titles, feature headers"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",grindline.dark,#2E2E2E,"Asphalt Gray — base dark, urban grounding, night grind",type.h3,Oswald,22.0,"Card titles, feature headers"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",grindline.gold,#FFC857,"Warm Gold — achievement, spotlight, success moments",type.h3,Oswald,22.0,"Card titles, feature headers"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",grindline.teal,#00A6A6,"Electric Teal — energy, modernity, movement, primary accent",type.h3,Oswald,22.0,"Card titles, feature headers"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",grindline.coral,#FF5A5F,"Burnt Coral — passion, urgency, call to action",type.body.large,"Libre Franklin",18.0,"Lead paragraphs, introductions"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",grindline.coral,#FF5A5F,"Burnt Coral — passion, urgency, call to action",type.h4,Oswald,18.0,"Minor headings"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",grindline.dark,#2E2E2E,"Asphalt Gray — base dark, urban grounding, night grind",type.body.large,"Libre Franklin",18.0,"Lead paragraphs, introductions"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",grindline.dark,#2E2E2E,"Asphalt Gray — base dark, urban grounding, night grind",type.h4,Oswald,18.0,"Minor headings"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",grindline.gold,#FFC857,"Warm Gold — achievement, spotlight, success moments",type.body.large,"Libre Franklin",18.0,"Lead paragraphs, introductions"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",grindline.gold,#FFC857,"Warm Gold — achievement, spotlight, success moments",type.h4,Oswald,18.0,"Minor headings"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",grindline.teal,#00A6A6,"Electric Teal — energy, modernity, movement, primary accent",type.body.large,"Libre Franklin",18.0,"Lead paragraphs, introductions"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",grindline.teal,#00A6A6,"Electric Teal — energy, modernity, movement, primary accent",type.h4,Oswald,18.0,"Minor headings"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",grindline.coral,#FF5A5F,"Burnt Coral — passion, urgency, call to action",type.body,"Libre Franklin",16.0,"Standard content, descriptions"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",grindline.coral,#FF5A5F,"Burnt Coral — passion, urgency, call to action",type.button.large,Oswald,16.0,"Large CTAs — uppercase"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",grindline.dark,#2E2E2E,"Asphalt Gray — base dark, urban grounding, night grind",type.body,"Libre Franklin",16.0,"Standard content, descriptions"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",grindline.dark,#2E2E2E,"Asphalt Gray — base dark, urban grounding, night grind",type.button.large,Oswald,16.0,"Large CTAs — uppercase"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",grindline.gold,#FFC857,"Warm Gold — achievement, spotlight, success moments",type.body,"Libre Franklin",16.0,"Standard content, descriptions"
"Grindline Studio",grindline-studio,"Where Hustle Meets Flow",grindline.gold,#FFC857,"Warm Gold — achievement, spotlight, success moments",type.button.large,Oswald,16.0,"Large CTAs — uppercase"
